Category	Marathi	Ambiguous
जागा	व्यापारासाठी शहरातील स्थळ चांगले आहे.	स्थळ 
जागा	इथले पर्यटन स्थळ खूप प्रसिद्ध आहे.	स्थळ 
जागा	प्रवासासाठी सुरक्षित स्थळ निवडा.	स्थळ 
जागा	हिवाळ्यात हे स्थळ अधिक सुंदर दिसते.	स्थळ 
जागा	मुंबईतील मरीन ड्राइव्ह हे प्रसिद्ध स्थळ आहे.	स्थळ 
जागा	अजंठा-वेरूळ ही ऐतिहासिक स्थळे आहेत.	स्थळ 
जागा	सायंकाळी फिरण्यासाठी हे चांगले स्थळ आहे.	स्थळ 
जागा	नवीन मॉल उघडण्यासाठी योग्य स्थळ निवडले आहे.	स्थळ 
जागा	पर्यटन स्थळांवर स्वच्छता राखणे गरजेचे आहे.	स्थळ 
जागा	ट्रेकिंगसाठी गडकिल्ल्यांचे स्थळ उत्तम असते.	स्थळ 
जागा	घराच्या आसपास शांत स्थळ हवे आहे.	स्थळ 
जागा	समुद्रकिनारा हे माझे आवडते स्थळ आहे.	स्थळ 
जागा	पुण्यातील शनिवारवाडा एक ऐतिहासिक स्थळ आहे.	स्थळ 
जागा	गड-किल्ले हे मराठ्यांच्या पराक्रमाचे स्थळ आहे.	स्थळ 
जागा	थंड हवेचे स्थळ म्हणून महाबळेश्वर प्रसिद्ध आहे.	स्थळ 
जागा	नदीकिनारी बसण्यासारखे सुंदर स्थळ आहे.	स्थळ 
जागा	संध्याकाळी गार्डनमध्ये बसण्यासाठी हे चांगले स्थळ आहे.	स्थळ 
जागा	आम्ही नवीन कार्यालयासाठी स्थळ शोधत आहोत.	स्थळ 
जागा	ऐतिहासिक स्थळांवर जाणे मला आवडते.	स्थळ 
जागा	आमच्या गावात पर्यटन स्थळ नाही.	स्थळ 
जागा	तीर्थयात्रेसाठी हे पवित्र स्थळ आहे.	स्थळ 
जागा	समुद्राजवळील स्थळ मला फार आवडते.	स्थळ 
जागा	आम्ही निसर्गरम्य स्थळी सहल गेलो होतो.	स्थळ 
जागा	गड-किल्ल्यांवर फिरणे म्हणजे इतिहास समजून घेण्याचे स्थळ आहे.	स्थळ 
जागा	लोकांनी पर्यटन स्थळावर खूप कचरा फेकला आहे.	स्थळ 
जागा	ट्रेकिंगसाठी खूप कठीण स्थळ आहे.	स्थळ 
जागा	नदीकाठी सहलीसाठी सुंदर स्थळ आहे.	स्थळ 
जागा	येथे नवीन रस्त्याचे काम सुरू असल्याने स्थळ बदलले आहे.	स्थळ 
जागा	ताजमहाल हे प्रेमाचे प्रतीक असलेले स्थळ आहे.	स्थळ 
जागा	खेळाडूंना सरावासाठी मोठे स्थळ आवश्यक आहे.	स्थळ 
जागा	या ठिकाणी फोटोशूटसाठी उत्तम स्थळ आहे.	स्थळ 
जागा	शहरातील मध्यवर्ती स्थळ गजबजलेले असते.	स्थळ 
जागा	पर्यटनस्थळांवर गर्दी असल्याने थोडी त्रासदायक परिस्थिती निर्माण होते.	स्थळ 
जागा	हे स्थळ मुलांसाठी सुरक्षित आहे.	स्थळ 
जागा	गावाजवळ सुंदर तलावाचे स्थळ आहे.	स्थळ 
जागा	या भागात धार्मिक स्थळे खूप आहेत.	स्थळ 
जागा	सिनेमा शूटिंगसाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	काही पर्यटन स्थळे आता प्रवेशासाठी बंद आहेत.	स्थळ 
जागा	माझे स्वप्न आहे की मी सर्व प्रसिद्ध स्थळांना भेट द्यावी.	स्थळ 
जागा	या स्थळी पाणी टंचाई आहे.	स्थळ 
जागा	बाजारपेठेतील हे स्थळ खूप महाग आहे.	स्थळ 
जागा	शहरातील लोक शांत स्थळी राहण्यास प्राधान्य देतात.	स्थळ 
जागा	जंगलात फिरण्यासाठी सुरक्षित स्थळ निवडले पाहिजे.	स्थळ 
जागा	मुंबईतील गेटवे ऑफ इंडिया हे पर्यटन स्थळ आहे.	स्थळ 
जागा	आमच्या गावात प्रेक्षणीय स्थळे आहेत.	स्थळ 
जागा	लहान मुलांसाठी खेळण्याचे स्थळ आवश्यक आहे.	स्थळ 
जागा	आम्ही भेट दिलेले स्थळ अतिशय रमणीय होते.	स्थळ 
जागा	समुद्रकिनाऱ्यावर फिरण्यासारखे सुंदर स्थळ आहे.	स्थळ 
जागा	काही स्थळे पावसाळ्यात अधिक सुंदर दिसतात.	स्थळ 
जागा	आम्ही छायाचित्रणासाठी खास स्थळ निवडले आहे.	स्थळ 
जागा	या स्थळी नवीन पूल बांधण्यात येणार आहे.	स्थळ 
जागा	निसर्गाच्या सान्निध्यात राहण्यासाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	उन्हाळ्यात हिल स्टेशनवर जाणे हा उत्तम पर्याय आहे.	स्थळ 
जागा	पर्यटन स्थळांवरील गर्दी आता कमी झाली आहे.	स्थळ 
जागा	तीर्थस्थळांना जाणे हा माझा छंद आहे.	स्थळ 
जागा	येथे येण्यापूर्वी स्थळाची माहिती घ्या.	स्थळ 
जागा	तुम्ही या स्थळी यायचे ठरवले आहे का?	स्थळ 
जागा	आमच्या शहरात नव्याने पर्यटन स्थळ विकसित केले जात आहे.	स्थळ 
जागा	येथे नवीन उपहारगृह सुरू करण्यासाठी चांगले स्थळ आहे.	स्थळ 
जागा	या परिसरात निसर्गरम्य स्थळे आहेत.	स्थळ 
जागा	पर्यटनस्थळांवर गाईड असावा हे आवश्यक आहे.	स्थळ 
जागा	नवीन व्यावसायिक संकुलासाठी हे योग्य स्थळ आहे.	स्थळ 
जागा	आम्ही ट्रेकिंगसाठी नवीन स्थळ शोधत आहोत.	स्थळ 
जागा	जंगली प्राण्यांचे निरीक्षण करण्यासाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	उंच डोंगरावरील स्थळे थंड असतात.	स्थळ 
जागा	उन्हाळ्यात समुद्रकिनारी फिरण्याचे हे माझे आवडते स्थळ आहे.	स्थळ 
जागा	नवीन घरासाठी योग्य स्थळ निवडणे गरजेचे आहे.	स्थळ 
जागा	हे स्थळ आधीपेक्षा अधिक सुंदर झाले आहे.	स्थळ 
जागा	निसर्गाच्या सान्निध्यात राहण्यासाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	आम्ही नुकतेच एका सुंदर स्थळी सहल केली.	स्थळ 
जागा	सहलीसाठी योग्य स्थळ निवडणे महत्त्वाचे आहे.	स्थळ 
जागा	लांब पल्ल्याच्या प्रवासासाठी योग्य स्थळ निवडले पाहिजे.	स्थळ 
जागा	समुद्रकिनाऱ्यावरच्या रिसॉर्टसाठी उत्तम स्थळ आहे.	स्थळ 
जागा	बाजाराच्या जवळ व्यवसायासाठी उत्तम स्थळ असते.	स्थळ 
जागा	शहराच्या बाहेर एक सुंदर हिल स्टेशनचे स्थळ आहे.	स्थळ 
जागा	या स्थळी वाहन लावण्यासाठी जागा उपलब्ध नाही.	स्थळ 
जागा	इतिहास प्रेमींसाठी गड-किल्ल्यांचे स्थळ हे स्वर्गासारखे असते.	स्थळ 
जागा	या ठिकाणी नवीन पर्यटनस्थळ विकसित होत आहे.	स्थळ 
जागा	हे स्थळ पूर्णपणे सुरक्षित आहे का?	स्थळ 
जागा	ट्रेकिंगसाठी हे स्थळ कठीण आहे.	स्थळ 
जागा	नवीन रेस्टॉरंटसाठी योग्य स्थळ निवडले आहे.	स्थळ 
जागा	आमच्या गावात सुंदर तलावाचे स्थळ आहे.	स्थळ 
जागा	उष्णतेपासून सुटका हवी असेल तर थंड स्थळी जा.	स्थळ 
जागा	हे ऐतिहासिक स्थळ अतिशय महत्त्वाचे आहे.	स्थळ 
जागा	आम्ही सहलीसाठी रमणीय स्थळ निवडले आहे.	स्थळ 
जागा	फोटोशूटसाठी योग्य स्थळ कुठले आहे?	स्थळ 
जागा	नवीन ऑफिससाठी आदर्श स्थळ पाहिजे.	स्थळ 
जागा	समुद्रकिनाऱ्याजवळ राहण्यासाठी उत्तम स्थळ आहे.	स्थळ 
जागा	नवीन मॉलसाठी हे स्थळ चांगले आहे.	स्थळ 
जागा	हे स्थळ फार सुंदर आहे.	स्थळ 
जागा	आम्ही नवीन स्थळ शोधत आहोत.	स्थळ 
जागा	पर्यटनासाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	तुम्हाला कुठल्या स्थळावर जायचे आहे?	स्थळ 
जागा	विवाहासाठी योग्य स्थळ मिळाले आहे.	स्थळ 
जागा	हे ऐतिहासिक स्थळ आहे.	स्थळ 
जागा	शहराच्या मध्यवर्ती स्थळी नवीन मॉल बांधला जात आहे.	स्थळ 
जागा	हा परिसर पर्यटन स्थळ म्हणून विकसित केला जात आहे.	स्थळ 
जागा	समुद्रकिनारी बसून सूर्यास्त पाहण्यासारखे सुंदर स्थळ नाही.	स्थळ 
जागा	लग्नसमारंभासाठी हॉलचे स्थळ निवडले आहे.	स्थळ 
जागा	हे स्थळ नकाशावर शोधणे सोपे आहे.	स्थळ 
जागा	आम्ही नवीन घरासाठी चांगले स्थळ शोधत आहोत.	स्थळ 
जागा	मंदिराच्या आसपासचे स्थळ स्वच्छ ठेवले पाहिजे.	स्थळ 
जागा	ट्रेकिंगसाठी हे एक रोमांचक स्थळ आहे.	स्थळ 
जागा	आमच्या शहरात नवीन औद्योगिक स्थळ विकसित होत आहे.	स्थळ 
जागा	ऐतिहासिक स्थळे पाहण्याचा छंद मला आहे.	स्थळ 
जागा	गड-किल्ल्यांचे स्थळ पाहताना ऐतिहासिक आठवणी जाग्या होतात.	स्थळ 
जागा	पर्यटकांसाठी या स्थळी विशेष सुविधा उपलब्ध आहेत.	स्थळ 
जागा	छायाचित्रणासाठी हे सर्वोत्तम स्थळ आहे.	स्थळ 
जागा	आमच्या गावाजवळ निसर्गरम्य स्थळ आहे.	स्थळ 
जागा	उंच डोंगरावर ट्रेकिंगसाठी आव्हानात्मक स्थळ असते.	स्थळ 
जागा	या स्थळी पोहोचण्यासाठी अनेक मार्ग उपलब्ध आहेत.	स्थळ 
जागा	प्रत्येक शहरात प्रसिद्ध पर्यटन स्थळ असते.	स्थळ 
जागा	नवीन हॉस्पिटलसाठी हे आदर्श स्थळ आहे.	स्थळ 
जागा	गड-किल्ल्यांचे स्थळ पाहून मन आनंदित होते.	स्थळ 
जागा	सायंकाळच्या वेळी हे स्थळ अधिक सुंदर दिसते.	स्थळ 
जागा	सिनेमा शूटिंगसाठी हे स्थळ निवडण्यात आले आहे.	स्थळ 
जागा	हिवाळ्यात निसर्गरम्य स्थळांवर फिरणे अधिक आनंददायी असते.	स्थळ 
जागा	शहरातील मुख्य स्थळांना भेट द्यायची आहे.	स्थळ 
जागा	हे स्थळ माझ्या लहानपणच्या आठवणींशी जोडलेले आहे.	स्थळ 
जागा	मित्रांसोबत सहलीसाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	नदीकिनारी उभारलेले स्थळ खूप आकर्षक आहे.	स्थळ 
जागा	आम्ही आमच्या सहलीचे स्थळ ठरवले आहे.	स्थळ 
जागा	ऑफिससाठी शहराच्या मध्यवर्ती स्थळी जागा बघत आहोत.	स्थळ 
जागा	थंड हवेच्या स्थळांवर फिरायला मला खूप आवडते.	स्थळ 
जागा	निसर्गरम्य स्थळी वेळ घालवणे आनंददायक असते.	स्थळ 
जागा	गावातील जुने वाडेही ऐतिहासिक स्थळांप्रमाणेच सुंदर असतात.	स्थळ 
जागा	प्रेक्षणीय स्थळांना भेट देण्याचा माझा मानस आहे.	स्थळ 
जागा	नवीन पार्कसाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	हे स्थळ धार्मिक आणि सांस्कृतिक दृष्टिकोनातून महत्त्वाचे आहे.	स्थळ 
जागा	लहान मुलांसाठी सुरक्षित खेळण्याचे स्थळ आवश्यक आहे.	स्थळ 
जागा	प्रवास करताना नवीन स्थळे शोधणे रोमांचक असते.	स्थळ 
जागा	कंपनीसाठी योग्य स्थळ निवडणे हे महत्त्वाचे आहे.	स्थळ 
जागा	पर्यटन स्थळी स्वच्छता राखणे गरजेचे आहे.	स्थळ 
जागा	काही स्थळांना भेट देण्यासाठी परवानगी आवश्यक असते.	स्थळ 
जागा	हे स्थळ निसर्गाच्या सान्निध्यात आहे.	स्थळ 
जागा	प्रवाशांसाठी हे स्थळ खूप आरामदायक आहे.	स्थळ 
जागा	सकाळच्या वेळी हे स्थळ अधिक शांत असते.	स्थळ 
जागा	इथले हवामान आणि स्थळ दोन्ही मनमोहक आहेत.	स्थळ 
जागा	इतिहास अभ्यासणाऱ्यांसाठी गड-किल्ले योग्य स्थळ आहे.	स्थळ 
जागा	मोठ्या संमेलनासाठी हे स्थळ योग्य आहे.	स्थळ 
जागा	हिवाळ्यात काही पर्यटन स्थळ अधिक सुंदर दिसतात.	स्थळ 
जागा	नवीन मॉलसाठी हे स्थळ निवडण्यात आली आहे.	स्थळ 
जागा	प्रेक्षणीय स्थळांना भेट देण्यासाठी आम्ही योजना आखत आहोत.	स्थळ 
जागा	नदीच्या किनारी असलेले स्थळ खूप सुंदर वाटते.	स्थळ 
जागा	या स्थळी जाण्यासाठी बस आणि ट्रेन दोन्ही सुविधा उपलब्ध आहेत.	स्थळ 
जागा	हे स्थळ ट्रेकिंगसाठी प्रसिद्ध आहे.	स्थळ 
जागा	ऐतिहासिक स्थळांचे संरक्षण करणे आपली जबाबदारी आहे.	स्थळ 
जागा	सहलीसाठी तुम्ही कोणते स्थळ निवडले आहे?	स्थळ 
जागा	नवीन व्यवसाय सुरू करण्यासाठी योग्य स्थळ निवडणे गरजेचे आहे.	स्थळ 
जागा	आम्ही या स्थळी सुट्टीसाठी गेलो होतो.	स्थळ 
जागा	शहराच्या बाहेर निसर्गरम्य स्थळ आहे.	स्थळ 
जागा	हे स्थळ एका डोंगराच्या माथ्यावर आहे.	स्थळ 
जागा	संध्याकाळी फिरण्यासाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	आमच्या शाळेची सहल एका ऐतिहासिक स्थळी गेली होती.	स्थळ 
जागा	हे स्थळ पर्यटकांसाठी आकर्षक आहे.	स्थळ 
जागा	पावसाळ्यात हे स्थळ अधिक सुंदर दिसते.	स्थळ 
जागा	शहरातील हे स्थळ नेहमीच गजबजलेले असते.	स्थळ 
जागा	नवीन रेस्टॉरंटसाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	तीर्थयात्रेसाठी हे स्थळ महत्त्वाचे मानले जाते.	स्थळ 
जागा	नवीन घरासाठी प्रशस्त स्थळ हवे आहे.	स्थळ 
जागा	इथून जवळच एक सुंदर पर्यटन स्थळ आहे.	स्थळ 
जागा	तुम्ही कोणत्या स्थळी राहत आहात?	स्थळ 
जागा	नव्या कार्यालयासाठी केंद्रस्थळी असलेले स्थळ शोधत आहोत.	स्थळ 
जागा	हे स्थळ चित्रपट चित्रीकरणासाठी प्रसिद्ध आहे.	स्थळ 
जागा	आमच्या गावाजवळील स्थळ खूप सुंदर आहे.	स्थळ 
जागा	या स्थळी उंच टेकड्या आणि नद्या आहेत.	स्थळ 
जागा	गड-किल्ल्यांचे स्थळ इतिहास सांगणारे आहे.	स्थळ 
जागा	मुंबईतील जुहू बीच एक प्रसिद्ध स्थळ आहे.	स्थळ 
जागा	आम्ही पर्यटन स्थळी भेट देण्याची योजना आखत आहोत.	स्थळ 
जागा	या स्थळी सकाळी फिरायला खूप मजा येते.	स्थळ 
जागा	येथे नवीन महामार्गासाठी स्थळ निश्चित करण्यात आले आहे.	स्थळ 
जागा	आम्ही नवीन दुकानासाठी योग्य स्थळ शोधत आहोत.	स्थळ 
जागा	हे स्थळ प्राचीन काळापासून प्रसिद्ध आहे.	स्थळ 
जागा	काही स्थळे अज्ञात राहतात, पण ती फार सुंदर असतात.	स्थळ 
जागा	नदीच्या काठावरील स्थळ खूप रमणीय आहे.	स्थळ 
जागा	व्यवसाय वाढवण्यासाठी चांगले स्थळ निवडणे महत्त्वाचे आहे.	स्थळ 
जागा	हे स्थळ उन्हाळ्यात खूप गरम असते.	स्थळ 
जागा	प्रवासादरम्यान आम्ही अनेक सुंदर स्थळे पाहिली.	स्थळ 
जागा	नवीन प्रकल्पासाठी स्थळ निरीक्षण सुरू आहे.	स्थळ 
जागा	गड-किल्ल्यांचे स्थळ स्वच्छ ठेवणे गरजेचे आहे.	स्थळ 
जागा	मेट्रो स्टेशन जवळील स्थळ महाग असते.	स्थळ 
जागा	आम्ही या स्थळी काही तास घालवले.	स्थळ 
जागा	समुद्रकिनारी फिरण्यासाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	नवीन घर बांधण्यासाठी हे स्थळ योग्य वाटते.	स्थळ 
जागा	आम्ही आमच्या हनीमूनसाठी हे स्थळ निवडले आहे.	स्थळ 
जागा	ऐतिहासिक स्थळी भेट दिल्याने नवीन गोष्टी शिकायला मिळतात.	स्थळ 
जागा	हिवाळ्यात पर्वतीय स्थळांवर पर्यटन अधिक चांगले असते.	स्थळ 
जागा	या स्थळी राहण्याची व्यवस्था आहे का?	स्थळ 
जागा	महाबळेश्वर थंड हवेचे प्रसिद्ध स्थळ आहे.	स्थळ 
जागा	हे स्थळ ट्रेकर्ससाठी विशेष आकर्षण आहे.	स्थळ 
जागा	आमच्या गावाजवळ सुंदर धबधब्याचे स्थळ आहे.	स्थळ 
जागा	हे स्थळ नकाशावर दाखवले आहे का?	स्थळ 
जागा	मंदिर परिसर हे धार्मिक स्थळ आहे.	स्थळ 
जागा	काही स्थळे रात्री अधिक आकर्षक दिसतात.	स्थळ 
जागा	नदीकाठी बसण्यासाठी हे सुंदर स्थळ आहे.	स्थळ 
जागा	आम्ही आमच्या सहलीचे स्थळ ठरवले आहे.	स्थळ 
जागा	शहराच्या गजबजाटापासून दूर हे शांत स्थळ आहे.	स्थळ 
जागा	या स्थळी फिरण्याची मजा काही औरच आहे.	स्थळ 
जागा	ट्रेकिंगप्रेमींसाठी हे स्वप्नवत स्थळ आहे.	स्थळ 
जागा	मोठ्या कार्यक्रमासाठी प्रशस्त स्थळ हवे आहे.	स्थळ 
जागा	बाजाराजवळील स्थळ अधिक सोयीस्कर ठरते.	स्थळ 
जागा	पर्यटन स्थळांना भेट देण्याची मला आवड आहे.	स्थळ 
जागा	जंगल सफारीसाठी हे उत्तम स्थळ आहे.	स्थळ 
जागा	या स्थळी जाण्यासाठी पायवाटेचा वापर करावा लागतो.	स्थळ 
जागा	ऐतिहासिक स्थळांबद्दल जाणून घेणे मला आवडते.	स्थळ 
जागा	तुम्ही पर्यटन स्थळी गेलात का?	स्थळ 
जागा	आमच्या गावाजवळील स्थळ खूप प्रसिद्ध आहे.	स्थळ 
जागा	समुद्रकिनाऱ्यावरील हे स्थळ फार सुंदर आहे.	स्थळ 
जागा	हे स्थळ निसर्गसंपन्न आणि शांत आहे.	स्थळ 
जागा	व्यवसायासाठी गजबजलेल्या ठिकाणी स्थळ असावे.	स्थळ 
जागा	नवीन कारखान्यासाठी योग्य स्थळ पाहिजे.	स्थळ 
जागा	शाळेची सहल एका प्रसिद्ध स्थळी गेली होती.	स्थळ 
जागा	आम्ही ट्रेकिंगसाठी हे स्थळ निवडले आहे.	स्थळ 
जागा	नवीन दुकानासाठी हे स्थळ योग्य आहे.	स्थळ 
जागा	पर्यटन स्थळांवर गर्दीचा अंदाज घेऊन जायला हवे.	स्थळ 
जागा	या स्थळी जाण्यासाठी वेळेचे नियोजन आवश्यक आहे.	स्थळ 
जागा	काही स्थळे अत्यंत गुप्त आणि रहस्यमय असतात.	स्थळ 
जागा	या स्थळी सुरक्षेच्या दृष्टीने विशेष खबरदारी घ्यावी लागते.	स्थळ 
जागा	निसर्गरम्य स्थळी विश्रांती घेण्यास मजा येते.	स्थळ 
जागा	आम्ही नव्या रिसॉर्टसाठी स्थळ निवडले आहे.	स्थळ 
जागा	नवीन औद्योगिक प्रकल्पासाठी या स्थळी जागा निश्चित करण्यात आली आहे.	स्थळ 
जागा	ट्रेकिंगचा अनुभव अधिक चांगला व्हावा म्हणून योग्य स्थळ निवडा.	स्थळ 
जागा	आमच्या गावाजवळील पर्यटन स्थळ आता प्रसिद्ध होत आहे.	स्थळ 
जागा	या स्थळी प्रवेशासाठी तिकीट आवश्यक आहे.	स्थळ 
जागा	हे स्थळ कुटुंबासोबत फिरण्यासाठी उत्तम आहे.	स्थळ 
जागा	नवीन मॉलसाठी जागेचे स्थळ निश्चित झाले आहे.	स्थळ 
जागा	आमच्या परिसरातील स्थळ स्वच्छ ठेवण्यास आम्ही प्रयत्नशील आहोत.	स्थळ 
जागा	काही स्थळे इतिहास सांगणारी असतात.	स्थळ 
जागा	या स्थळी प्रेक्षणीय ठिकाणे आहेत.	स्थळ 
जागा	पावसाळ्यात काही पर्यटन स्थळांवर जाणे धोकादायक असते.	स्थळ 
जागा	या स्थळी वाहन पार्किंगची सोय आहे का?	स्थळ 
जागा	आम्ही ट्रेकिंगसाठी वेगळे स्थळ शोधत आहोत.	स्थळ 
जागा	ऐतिहासिक स्थळांबद्दल माहिती मिळवणे आनंददायक असते.	स्थळ 
जागा	आमच्या गावातील पर्यटन स्थळ लोकप्रिय होत आहे.	स्थळ 
जागा	या स्थळी उन्हाळ्यात उष्णता जास्त असते.	स्थळ 
जागा	शहराजवळील पर्यटन स्थळ गर्दीमुळे ओळखले जाते.	स्थळ 
जागा	या स्थळी विविध वनस्पती पाहायला मिळतात.	स्थळ 
जागा	नवीन ऑफिससाठी हे स्थळ उत्तम वाटते.	स्थळ 
जागा	निसर्गरम्य स्थळी वेळ घालवण्याचा आनंद वेगळाच असतो.	स्थळ 
जागा	आम्ही सहलीसाठी हे रमणीय स्थळ निवडले आहे.	स्थळ 
जागा	किल्ल्यांच्या परिसरातील स्थळे ऐतिहासिक महत्त्वाची आहेत.	स्थळ 
जागा	मोठ्या प्रदर्शनासाठी हे स्थळ पुरेसे आहे.	स्थळ 
जागा	शहराच्या गजबजाटापासून दूर शांत स्थळ शोधत आहे.	स्थळ 
जागा	पिकनिकसाठी हे उत्तम स्थळ आहे.	स्थळ 
थांबणे	मी तुझी वाट पाहतोय, लवकर ये.	वाट 
थांबणे	पावसाने थांबण्याची वाट बघतो आहे.	वाट 
थांबणे	तिच्या फोनची वाट पाहून मी कंटाळलो.	वाट 
थांबणे	ट्रेन वेळेवर येईल अशी वाट पाहतो आहे.	वाट 
थांबणे	परीक्षेच्या निकालाची वाट लागली आहे.	वाट 
थांबणे	मित्राने येण्याची मी आतुरतेने वाट पाहतो आहे.	वाट 
थांबणे	आईने माझ्यासाठी जेवण वाढले आहे, मी तिची वाट पाहतो आहे.	वाट 
थांबणे	तिकिट मिळेल अशी आशेने वाट बघतो आहे.	वाट 
थांबणे	डॉक्टरांच्या केबिन बाहेर रुग्णांची वाट पाहत बसलो होतो.	वाट 
थांबणे	तिला भेटण्याची खूप वाट पाहिली, पण ती आलीच नाही.	वाट 
थांबणे	सुट्टीची वाट पाहत होतो, ती अखेर आली.	वाट 
थांबणे	नवीन मोबाईल घ्यायची वाट बघत आहे.	वाट 
थांबणे	तुझ्या निर्णयाची वाट पाहून थकलो.	वाट 
थांबणे	प्रेम पत्राला उत्तर मिळेल याची वाट पाहतो आहे.	वाट 
